Example of what Bundles the MCU sends to Radio APP.
01-01 14:02:45.390 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96150000; }Bundle
01-01 14:02:45.394 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.509 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96200000; }Bundle
01-01 14:02:45.513 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.629 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96250000; }Bundle
01-01 14:02:45.634 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.749 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96300000; }Bundle
01-01 14:02:45.756 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.869 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96350000; }Bundle
01-01 14:02:45.875 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:45.989 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96400000; }Bundle
01-01 14:02:45.992 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.109 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96450000; }Bundle
01-01 14:02:46.113 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.229 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96500000; }Bundle
01-01 14:02:46.234 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.349 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96550000; }Bundle
01-01 14:02:46.353 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.469 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96600000; }Bundle
01-01 14:02:46.473 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
